"","quad","year","trackID","area","survives","age","distEdgeMin","allEdge","Group","Grazing"
"329","q21",41,19,160.62338,0,7,0.730056762695312,0,"lb1","No"
"330","q21",41,36,42.37268,1,6,18.4915618896484,0,"lb1","No"
"331","q21",42,28,181.0524,1,8,10.6769275665283,0,"lb1","No"
"332","q21",42,40,49.98699,1,2,5.35617971420288,0,"lb1","No"
"333","q21",42,26,75.40664,1,8,0.875074803829193,0,"lb1","No"
"334","q21",42,38,96.33452,1,7,-0.820666790008545,0,"lb1","No"
"335","q21",42,36,120.80064,1,7,18.2614288330078,0,"lb1","No"
"336","q21",43,40,113.08,1,3,0.0212636161595583,0,"lb1","No"
"337","q21",43,38,71.1971108,1,8,-0.663192570209503,0,"lb1","No"
"338","q21",43,28,11.53381,0,9,19.5975303649902,0,"lb1","No"
"339","q21",43,43,0.5219942,0,1,22.7697525024414,0,"lb1","No"
"340","q21",43,36,228.70847,1,8,15.8136978149414,0,"lb1","No"
"341","q21",43,41,2.130033,1,3,3.92103624343872,0,"lb1","No"
"342","q21",43,44,0.5262414,0,1,24.2274188995361,0,"lb1","No"
"343","q21",43,42,1.760047,0,1,20.3318634033203,0,"lb1","No"
"344","q21",43,26,49.53555,1,9,1.72043776512146,0,"lb1","No"
"345","q21",43,45,62.84468,0,1,4.66847229003906,0,"lb1","No"
"346","q21",43,46,23.15414,1,1,-0.767219543457031,1,"lb1","No"
"347","q21",44,46,42.2732,1,2,-0.213333129882812,0,"lb1","No"
"348","q21",44,41,2.813948,0,4,1.60454618930817,1,"lb1","No"
"349","q21",44,38,111.6019,1,9,2.42101168632507,0,"lb1","No"
"350","q21",44,40,48.57309,1,4,0.0426166094839573,0,"lb1","No"
"351","q21",44,36,15.07302,1,9,18.6766815185547,0,"lb1","No"
"352","q21",44,26,63.630973,1,10,1.19676744937897,0,"lb1","No"
"353","q21",45,38,103.935066,1,10,0.243351101875305,0,"lb1","No"
"354","q21",45,40,24.08868,1,5,5.57499742507935,0,"lb1","No"
"355","q21",45,26,83.931009,1,11,-0.0724006965756416,0,"lb1","No"
"356","q21",45,36,16.287621,0,10,15.7935791015625,0,"lb1","No"
"357","q21",45,46,28.71879,1,3,0.742952942848206,0,"lb1","No"
"358","q21",46,46,31.41254,1,4,0.313661485910416,0,"lb1","No"
"359","q21",46,40,35.86997,1,6,0.874367952346802,0,"lb1","No"
"360","q21",46,26,141.182069,1,12,-0.286728411912918,0,"lb1","No"
"361","q21",46,38,58.20337,1,11,-0.622108995914459,0,"lb1","No"
"362","q21",47,50,7.873575,1,1,5.80116271972656,0,"lb1","No"
"363","q21",47,26,89.39491,1,13,2.67467427253723,0,"lb1","No"
"364","q21",47,49,4.265132,0,1,-0.640403747558594,1,"lb1","No"
"365","q21",47,48,5.299228,0,1,-0.229019165039062,1,"lb1","No"
"366","q21",47,47,4.514735,1,1,-0.263397216796875,1,"lb1","No"
"367","q21",47,38,44.46395,1,12,-0.565617620944977,0,"lb1","No"
"368","q21",47,46,11.85185,1,5,0.650848388671875,1,"lb1","No"
"369","q21",48,50,15.98565,1,2,5.46099901199341,0,"lb1","No"
"370","q21",48,38,87.065872,1,13,-0.0145923411473632,0,"lb1","No"
"371","q21",48,47,6.370155,0,2,0.161796569824219,1,"lb1","No"
"372","q21",48,26,44.831372,1,14,2.19540286064148,0,"lb1","No"
"373","q21",48,46,24.937252,1,6,-0.141863524913788,0,"lb1","No"
"374","q21",48,40,24.58993,1,8,1.58544993400574,0,"lb1","No"
"375","q21",48,51,2.609634,0,1,9.60662841796875,0,"lb1","No"
"376","q21",49,38,26.679927,1,14,0.81189227104187,0,"lb1","No"
"377","q21",49,26,4.709267,0,15,6.41563320159912,0,"lb1","No"
