"","X","quad","year","NRquad","totParea","recArea","Group"
"95",95,"M5",34,1,5.42417047053805,0.184359987473035,"M"
"96",96,"M6",26,1,3.12022747144239,0.320489454423568,"M"
"97",97,"M6",27,0,17.4198479720389,0,"M"
"98",98,"M6",28,0,7.02862031620224,0,"M"
"99",99,"M6",29,0,8.85552504102338,0,"M"
"100",100,"M6",30,0,18.2401221230817,0,"M"
"101",101,"M6",31,0,14.8751496418369,0,"M"
"102",102,"M6",32,0,4.06511520584058,0,"M"
"103",103,"M6",33,0,4.07196082660181,0,"M"
"104",104,"M6P",21,0,8.75730140420759,0,"M"
"105",105,"M6P",24,0,0.71092026583631,0,"M"
