"","quad","year","SP_ID","Species","area","x","y","age","survives","dormancy","trackID","distEdgeMin","allEdge"
"4080","NC27",35,4,"Bouteloua eriopoda",19.9907921338337,71.3398416357911,82.6214729696551,4,0,0,55,14.8072830124981,0
"4082","NC27",35,6,"Bouteloua eriopoda",26.8087183831342,69.9427809456337,71.2467534303485,6,0,0,51,26.2282696380799,0
"4086","NC27",35,11,"Bouteloua eriopoda",5.10322332870295,27.5008850394789,1.97393534485626,6,0,0,52,0.932620714396384,1
"4099","NC28",30,47,"Bouteloua eriopoda",28.9762889032743,28.9830629223394,3.03990222889653,1,1,0,32,-0.120305822227648,0
"4100","NC28",30,48,"Bouteloua eriopoda",27.5915979403696,37.6706402561373,11.1393673070227,1,1,0,33,8.93953747310607,0
"4101","NC28",30,49,"Bouteloua eriopoda",24.2495062217993,12.5501436257602,15.3891507875183,1,1,0,34,9.50566698009435,0
"4102","NC28",31,22,"Bouteloua eriopoda",33.3294604442279,12.9689995129188,15.5809154821241,2,1,0,34,9.1488183066132,0
"4103","NC28",31,23,"Bouteloua eriopoda",31.7508449759051,29.9811784259978,4.04664786788102,2,1,0,32,-1.44283993086525e-07,0
"4104","NC28",31,24,"Bouteloua eriopoda",53.1048525817612,38.8203655392509,10.7899997730949,2,1,0,33,6.71508367976529,0
"4105","NC28",32,20,"Bouteloua eriopoda",48.4446271361014,10.6963605045705,15.160541385651,3,1,0,34,6.70116858243014,0
"4106","NC28",32,21,"Bouteloua eriopoda",36.718312948237,26.9284470112758,3.09678199692869,3,1,0,32,-0.0976847876703379,0
"4107","NC28",32,22,"Bouteloua eriopoda",1.46260548305311,29.4837174910711,6.62123118813976,3,0,0,32,5.93876894086478,0
"4108","NC28",32,23,"Bouteloua eriopoda",6.42413441083141,32.5471907974152,13.2001918059541,3,0,0,33,11.4901497598625,0
"4109","NC28",32,24,"Bouteloua eriopoda",26.3791850517253,38.8429586923662,11.6756308819994,3,1,0,33,8.74140787005609,0
"4110","NC28",32,27,"Bouteloua eriopoda",0.25048851966858,34.8388671875,10.302734375,3,0,0,33,10.052490234375,0
"4111","NC28",33,21,"Bouteloua eriopoda",31.3514985361879,41.1391054674258,12.4038661631127,4,1,0,33,9.26459111668531,0
"4112","NC28",33,22,"Bouteloua eriopoda",0.74098734873263,33.6678620730521,6.44247683059046,4,0,0,33,6.0418314015651,0
"4113","NC28",33,23,"Bouteloua eriopoda",44.8976901946537,15.6147943467075,16.0208156538689,4,1,0,34,11.9202734939057,0
"4114","NC28",33,24,"Bouteloua eriopoda",25.8308523764324,31.1204561109439,2.74599602759257,4,1,0,32,-1.51375814660959e-07,0
